Ticker,Year,start_price,end_price,mean_volatility,max_drawdown,best_day,yearly_return,regime
AAPL,2015,27.3325,26.315,0.2602,-0.0612,0.0574,-0.0372,Bear
AAPL,2016,26.3375,28.955,0.2225,-0.0657,0.065,0.0994,Bull
AAPL,2017,29.0375,42.3075,0.1668,-0.0388,0.061,0.457,Bull
AAPL,2018,43.065,39.435,0.2561,-0.0663,0.0704,-0.0843,Bear
AAPL,2019,39.48,73.4125,0.2562,-0.0996,0.0683,0.8595,Bull
AAPL,2020,75.0875,132.69,0.4139,-0.1286,0.1198,0.7671,Bull
AAPL,2021,129.41,177.57,0.2434,-0.0417,0.0539,0.3722,Bull
AAPL,2022,182.01,129.93,0.3472,-0.0587,0.089,-0.2861,Bear
AAPL,2023,125.07,192.53,0.2047,-0.048,0.0469,0.5394,Bull
AAPL,2024,185.64,229.79,0.2354,-0.0482,0.0726,0.2378,Bull
AMZN,2015,15.426,33.7945,0.3122,-0.0629,0.1413,1.1907,Bull
AMZN,2016,31.8495,37.4935,0.2672,-0.0761,0.0957,0.1772,Bull
AMZN,2017,37.6835,58.4735,0.192,-0.0354,0.1322,0.5517,Bull
AMZN,2018,59.4505,75.0985,0.3057,-0.0782,0.0945,0.2632,Bull
AMZN,2019,76.9565,92.392,0.2325,-0.0538,0.0501,0.2006,Bull
AMZN,2020,94.9005,162.8465,0.3664,-0.0792,0.0793,0.716,Bull
AMZN,2021,159.3315,166.717,0.2381,-0.0756,0.0469,0.0464,Volatile
AMZN,2022,170.4045,84.0,0.4798,-0.1405,0.1354,-0.5071,Bear
AMZN,2023,85.82,151.94,0.3286,-0.0843,0.0827,0.7704,Bull
AMZN,2024,149.93,172.12,0.2611,-0.0878,0.0787,0.148,Bull
BRK-B,2015,149.17,132.04,0.1669,-0.0346,0.0381,-0.1148,Bear
BRK-B,2016,130.75,162.98,0.1472,-0.043,0.0316,0.2465,Bull
BRK-B,2017,163.83,198.22,0.1065,-0.0207,0.0342,0.2099,Bull
BRK-B,2018,197.22,204.18,0.2053,-0.0589,0.0527,0.0353,Bear
BRK-B,2019,202.8,226.5,0.1516,-0.0549,0.0287,0.1169,Bull
BRK-B,2020,228.39,231.87,0.2816,-0.0959,0.1161,0.0152,Volatile
BRK-B,2021,228.45,299.0,0.1489,-0.0241,0.0362,0.3088,Bull
BRK-B,2022,300.79,308.9,0.218,-0.0372,0.0504,0.027,Bear
BRK-B,2023,309.91,356.66,0.1352,-0.0281,0.036,0.1509,Bull
BRK-B,2024,362.46,468.37,0.13,-0.0342,0.0235,0.2922,Bull
GOOGL,2015,26.4775,38.9005,0.2627,-0.0522,0.1626,0.4692,Bull
GOOGL,2016,37.972,39.6225,0.1939,-0.0541,0.0428,0.0435,Bull
GOOGL,2017,40.4005,52.67,0.1499,-0.034,0.0426,0.3037,Bull
GOOGL,2018,53.6605,52.248,0.2612,-0.0528,0.0642,-0.0263,Bear
GOOGL,2019,52.734,66.9695,0.2337,-0.075,0.0962,0.2699,Bull
GOOGL,2020,68.434,87.632,0.3401,-0.1163,0.0924,0.2805,Bull
GOOGL,2021,86.3065,144.852,0.2346,-0.0467,0.0728,0.6783,Bull
GOOGL,2022,144.9915,88.23,0.3792,-0.0914,0.0766,-0.3915,Bear
GOOGL,2023,89.12,139.69,0.297,-0.0951,0.0728,0.5674,Bull
GOOGL,2024,138.17,161.78,0.2683,-0.075,0.1022,0.1709,Bull
LLY,2015,70.06,84.26,0.2572,-0.0778,0.0655,0.2027,Bull
LLY,2016,82.87,73.55,0.2208,-0.1051,0.059,-0.1125,Bear
LLY,2017,74.6,84.46,0.1499,-0.0408,0.0312,0.1322,Bull
LLY,2018,84.68,115.72,0.2035,-0.0539,0.0503,0.3666,Bull
LLY,2019,114.88,131.43,0.2091,-0.0468,0.0331,0.1441,Bull
LLY,2020,132.21,168.84,0.368,-0.1,0.1568,0.2771,Bull
LLY,2021,165.5,276.22,0.2891,-0.0909,0.1174,0.669,Bull
LLY,2022,271.73,365.84,0.2757,-0.0445,0.0748,0.3463,Bull
LLY,2023,364.99,582.92,0.2677,-0.0449,0.1487,0.5971,Bull
LLY,2024,592.2,940.2,0.2796,-0.0626,0.0948,0.5876,Bull
META,2015,78.45,104.66,0.2542,-0.0498,0.0505,0.3341,Bull
META,2016,102.22,115.05,0.2493,-0.0581,0.1552,0.1255,Bull
META,2017,116.86,176.46,0.1667,-0.045,0.0425,0.51,Bull
META,2018,181.42,131.09,0.338,-0.1896,0.0906,-0.2774,Bear
META,2019,135.68,205.25,0.2818,-0.0751,0.1082,0.5128,Bull
META,2020,209.78,273.16,0.4242,-0.1425,0.1023,0.3021,Bull
META,2021,268.94,336.35,0.2909,-0.0505,0.073,0.2507,Bull
META,2022,338.54,120.34,0.6029,-0.2639,0.1759,-0.6445,Bear
META,2023,124.74,353.96,0.3675,-0.0455,0.2328,1.8376,Bull
META,2024,346.29,518.22,0.3759,-0.1056,0.2032,0.4965,Bull
MSFT,2015,46.76,55.48,0.2653,-0.0925,0.1045,0.1865,Bull
MSFT,2016,54.8,62.14,0.219,-0.0717,0.0582,0.1339,Bull
MSFT,2017,62.58,85.54,0.1427,-0.0377,0.0641,0.3669,Bull
MSFT,2018,85.95,101.57,0.2524,-0.0543,0.0757,0.1817,Bull
MSFT,2019,101.12,157.7,0.2053,-0.0368,0.0465,0.5595,Bull
MSFT,2020,160.62,222.42,0.3745,-0.1474,0.1422,0.3848,Bull
MSFT,2021,217.69,336.32,0.2018,-0.0362,0.0421,0.5449,Bull
MSFT,2022,334.75,239.82,0.3501,-0.0772,0.0823,-0.2836,Bear
MSFT,2023,239.58,376.04,0.2508,-0.0437,0.0724,0.5696,Bull
MSFT,2024,370.87,413.12,0.1919,-0.0359,0.0266,0.1139,Bull
NVDA,2015,0.5033,0.824,0.3333,-0.0738,0.1386,0.6374,Bull
NVDA,2016,0.8092,2.6685,0.3862,-0.0688,0.2981,2.2975,Bull
NVDA,2017,2.5503,4.8375,0.3976,-0.0927,0.1783,0.8969,Bull
NVDA,2018,4.9837,3.3375,0.4335,-0.1876,0.0936,-0.3303,Bear
NVDA,2019,3.4055,5.8825,0.3966,-0.1382,0.0725,0.7274,Bull
NVDA,2020,5.9977,13.055,0.5123,-0.1845,0.1716,1.1766,Bull
NVDA,2021,13.1135,29.411,0.4215,-0.0822,0.1204,1.2428,Bull
NVDA,2022,30.121,14.614,0.6232,-0.0947,0.1433,-0.5148,Bear
NVDA,2023,14.315,49.522,0.4611,-0.0591,0.2437,2.4594,Bull
NVDA,2024,48.168,117.59,0.5314,-0.1,0.164,1.4412,Bull
TSM,2015,22.28,22.75,0.2599,-0.0539,0.0869,0.0211,Bear
TSM,2016,22.09,28.75,0.2337,-0.0432,0.0654,0.3015,Bull
TSM,2017,29.31,39.65,0.1663,-0.0442,0.0354,0.3528,Bull
TSM,2018,41.02,36.91,0.2659,-0.057,0.042,-0.1002,Bear
TSM,2019,36.52,58.1,0.2407,-0.0591,0.0564,0.5909,Bull
TSM,2020,60.04,109.04,0.4228,-0.1403,0.1265,0.8161,Bull
TSM,2021,111.7,120.31,0.3138,-0.0594,0.0606,0.0771,Bull
TSM,2022,128.8,74.49,0.3903,-0.0619,0.1052,-0.4217,Bear
